id,name,url
1,Acacia,/images/products/colors/Acacia.jpg
2,White,/images/products/colors/White.jpg
3,Norwegian Ash,/images/products/colors/Norwegian_Ash.jpg
4,Walnut,/images/products/colors/Walnut.jpg
5,Oak Grigio,/images/products/colors/Oak_Grigio.jpg
6,Oak Kendal,/images/products/colors/Oak_Kendal.jpg
7,Graphite Ash,/images/products/colors/Graphite_Ash.jpg
8,Oak Marone,/images/products/colors/Oak_Marone.jpg
9,Wenge,/images/products/colors/Wenge.jpg
10,White Ash,/images/products/colors/White_Ash.jpg
11,Antracit Oak,/images/products/colors/Antracit_Oak.jpg
12,Burnt Oak,/images/products/colors/Burnt_Oak.jpg
13,Grey Oak,/images/products/colors/Grey_Oak.jpg
14,Riviera Oak,/images/products/colors/Riviera_Oak.jpg
15,Acacia ST,/images/products/colors/Acacia_ST.jpg
16,Primo Walnut,/images/products/colors/Primo_Walnut.jpg
17,Oiled Oak,/images/products/colors/Oiled_Oak.jpg
18,Structured Walnut,/images/products/colors/Structured_Walnut.jpg
19,Graphite,/images/products/colors/Graphite.jpg
20,Gray,/images/products/colors/Gray.jpg
21,Snow Ash,/images/products/colors/Snow_Ash.jpg
22,Sonoma Oak,/images/products/colors/Sonoma_Oak.jpg
23,Brown Ash,/images/products/colors/Brown_Ash.jpg
24,Catania Oak,/images/products/colors/Catania_Oak.jpg
25,Matte Gray,/images/products/colors/Matte_Gray.jpg
26,Acacia Oak,/images/products/colors/Acacia_Oak.jpg
27,Columbia Walnut,/images/products/colors/Columbia_Walnut.jpg
28,Polish Oak,/images/products/colors/Polish_Oak.jpg
29,Beech,/images/products/colors/Beech.jpg
