colorId,productId
1,1
2,1
3,1
4,1
5,1
6,1
8,1
10,1
15,1
18,1
19,1
20,1
25,1
28,1
1,2
2,2
3,2
4,2
5,2
6,2
8,2
10,2
15,2
18,2
19,2
20,2
25,2
28,2
1,3
2,3
3,3
4,3
5,3
6,3
8,3
10,3
15,3
18,3
19,3
20,3
25,3
28,3
1,4
2,4
3,4
4,4
5,4
6,4
8,4
10,4
15,4
18,4
19,4
20,4
25,4
28,4
1,5
2,5
3,5
4,5
5,5
11,5
13,5
14,5
16,5
17,5
21,5
1,6
2,6
3,6
4,6
5,6
11,6
13,6
14,6
16,6
17,6
21,6
1,7
2,7
3,7
4,7
5,7
11,7
13,7
14,7
16,7
17,7
21,7
1,8
2,8
3,8
4,8
5,8
11,8
13,8
14,8
16,8
17,8
21,8
1,9
2,9
3,9
4,9
5,9
11,9
13,9
14,9
16,9
17,9
21,9
1,10
2,10
3,10
4,10
5,10
11,10
13,10
14,10
16,10
17,10
21,10
1,11
2,11
3,11
4,11
5,11
11,11
13,11
14,11
16,11
17,11
21,11
1,12
2,12
3,12
4,12
5,12
11,12
13,12
14,12
16,12
17,12
21,12
1,13
2,13
3,13
4,13
5,13
11,13
13,13
14,13
16,13
17,13
21,13
1,14
2,14
3,14
4,14
5,14
11,14
13,14
14,14
16,14
17,14
21,14
3,15
4,15
6,15
7,15
15,15
3,16
4,16
6,16
7,16
15,16
3,17
4,17
6,17
7,17
15,17
3,18
4,18
6,18
7,18
15,18
3,19
4,19
6,19
7,19
15,19
3,20
4,20
6,20
7,20
15,20
3,21
4,21
6,21
7,21
15,21
3,22
4,22
6,22
7,22
15,22
3,23
4,23
6,23
7,23
15,23
3,24
4,24
6,24
7,24
15,24
3,25
4,25
6,25
7,25
15,25
3,26
4,26
6,26
7,26
15,26
3,27
4,27
6,27
7,27
15,27
9,28
14,28
17,28
18,28
23,28
25,28
29,28
9,29
14,29
17,29
18,29
23,29
25,29
29,29
9,30
14,30
17,30
18,30
23,30
25,30
29,30
9,31
14,31
17,31
18,31
23,31
25,31
29,31
9,32
14,32
17,32
18,32
23,32
25,32
29,32
9,33
14,33
17,33
18,33
23,33
25,33
29,33
9,34
14,34
17,34
18,34
23,34
25,34
29,34
1,35
2,35
12,35
13,35
17,35
20,35
27,35
1,36
2,36
12,36
13,36
17,36
20,36
27,36
1,37
2,37
12,37
13,37
17,37
20,37
27,37
1,38
2,38
12,38
13,38
17,38
20,38
27,38
1,39
2,39
12,39
13,39
17,39
20,39
27,39
5,40
7,40
9,40
10,40
11,40
12,40
13,40
5,41
7,41
9,41
10,41
11,41
12,41
13,41
5,42
7,42
9,42
10,42
11,42
12,42
13,42
5,43
7,43
9,43
10,43
11,43
12,43
13,43
5,44
7,44
9,44
10,44
11,44
12,44
13,44
22,45
24,45
26,45
27,45
29,45
22,46
24,46
26,46
27,46
29,46
22,47
24,47
26,47
27,47
29,47
22,48
24,48
26,48
27,48
29,48
3,49
4,49
16,49
20,49
24,49
3,50
4,50
16,50
20,50
24,50
3,51
4,51
16,51
20,51
24,51
1,52
3,52
4,52
6,52
8,52
15,52
1,53
3,53
4,53
6,53
8,53
15,53
1,54
3,54
4,54
6,54
8,54
15,54
1,55
2,55
3,55
4,55
22,55
27,55
29,55
1,56
2,56
3,56
4,56
22,56
27,56
29,56
1,57
2,57
3,57
4,57
22,57
27,57
29,57
